open_time_utc,expected_close_time_utc,btc_source_close_time_utc,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_quote_asset_volume,btc_taker_buy_base_volume,btc_taker_buy_quote_volume,btc_number_of_trades,btc_missing,btc_duration_valid,eth_source_close_time_utc,eth_open,eth_high,eth_low,eth_close,eth_volume,eth_quote_asset_volume,eth_taker_buy_base_volume,eth_taker_buy_quote_volume,eth_number_of_trades,eth_missing,eth_duration_valid,is_complete
2017-08-17T00:00:00Z,2017-08-17T05:59:59.999000Z,2017-08-17T05:59:59.999000Z,4261.48000000,4328.69000000,4261.32000000,4315.32000000,70.41592500,302670.96196053,56.60857400,243560.75767140,273,0,1,2017-08-17T05:59:59.999000Z,301.13000000,303.28000000,298.00000000,303.10000000,503.34123000,151728.08685740,408.66805000,123273.24435760,331,0,1,1
2017-08-17T06:00:00Z,2017-08-17T11:59:59.999000Z,2017-08-17T11:59:59.999000Z,4330.29000000,4485.39000000,4287.41000000,4427.30000000,75.29282200,333024.52871940,66.19278600,293140.71539334,309,0,1,2017-08-17T11:59:59.999000Z,302.40000000,312.00000000,301.90000000,308.95000000,2236.32270000,686304.89466260,1945.56729000,597411.51825730,1155,0,1,1
2017-08-17T12:00:00Z,2017-08-17T17:59:59.999000Z,2017-08-17T17:59:59.999000Z,4436.06000000,4485.39000000,4235.45000000,4289.24000000,301.68570400,1321748.60139006,203.17840400,892101.79526079,1448,0,1,2017-08-17T17:59:59.999000Z,308.95000000,312.18000000,298.21000000,308.33000000,2670.81200000,820075.28877140,2441.70366000,749998.30376070,1740,0,1,1
2017-08-17T18:00:00Z,2017-08-17T23:59:59.999000Z,2017-08-17T23:59:59.999000Z,4289.24000000,4369.69000000,4200.74000000,4285.08000000,347.75592600,1497325.95866207,290.26877700,1249413.13227848,1397,0,1,2017-08-17T23:59:59.999000Z,308.33000000,311.53000000,298.96000000,302.00000000,1620.23441000,496547.03006520,1428.65099000,438022.30215460,1296,0,1,1
2017-08-18T00:00:00Z,2017-08-18T05:59:59.999000Z,2017-08-18T05:59:59.999000Z,4285.08000000,4340.62000000,4134.61000000,4313.56000000,391.15984400,1667910.25615111,306.37000800,1308099.31375237,1670,0,1,2017-08-18T05:59:59.999000Z,302.00000000,306.47000000,295.19000000,304.70000000,2660.25471000,803974.19609730,2127.77029000,642673.40403590,1523,0,1,1
2017-08-18T06:00:00Z,2017-08-18T11:59:59.999000Z,2017-08-18T11:59:59.999000Z,4313.56000000,4371.52000000,4247.75000000,4340.31000000,329.56235700,1417445.91044876,279.03799300,1200048.83281368,1381,0,1,2017-08-18T11:59:59.999000Z,304.70000000,311.79000000,303.21000000,307.78000000,1975.86747000,606732.47890460,1790.66180000,549798.78866380,1388,0,1,1
2017-08-18T12:00:00Z,2017-08-18T17:59:59.999000Z,2017-08-18T17:59:59.999000Z,4320.52000000,4340.31000000,4066.53000000,4193.35000000,283.69967400,1204622.51677415,234.44000100,995893.24963494,1058,0,1,2017-08-18T17:59:59.999000Z,307.78000000,310.29000000,293.18000000,295.53000000,2122.08082000,640008.59521080,1863.20731000,561793.19231630,1280,0,1,1
2017-08-18T18:00:00Z,2017-08-18T23:59:59.999000Z,2017-08-18T23:59:59.999000Z,4171.17000000,4297.75000000,3938.77000000,4108.37000000,195.46638900,796979.62279749,153.02070800,625081.92031709,1124,0,1,2017-08-18T23:59:59.999000Z,295.53000000,298.25000000,283.94000000,293.96000000,2779.64346000,808231.23914120,1670.79602000,486547.87621040,1467,0,1,1
2017-08-19T00:00:00Z,2017-08-19T05:59:59.999000Z,2017-08-19T05:59:59.999000Z,4108.37000000,4184.69000000,4027.83000000,4077.00000000,138.37787400,572139.84776938,113.57266800,470034.80587466,749,0,1,2017-08-19T05:59:59.999000Z,293.31000000,299.90000000,291.87000000,293.23000000,360.19881000,106496.87130510,207.06803000,61340.57838460,400,0,1,1
2017-08-19T06:00:00Z,2017-08-19T11:59:59.999000Z,2017-08-19T11:59:59.999000Z,4077.00000000,4082.25000000,3850.00000000,3957.60000000,160.14069500,642242.69678557,99.72511700,400633.21174797,810,0,1,2017-08-19T11:59:59.999000Z,293.69000000,295.56000000,278.00000000,282.58000000,1296.31671000,372914.81000030,1013.27436000,292134.72244630,859,0,1,1
