sample_id,condition_start_utc,condition_end_utc,target_start_utc,target_end_utc,split
0,2017-09-07T00:00:00Z,2017-11-05T18:00:00Z,2017-11-06T00:00:00Z,2017-12-05T18:00:00Z,train
1,2017-09-07T06:00:00Z,2017-11-06T00:00:00Z,2017-11-06T06:00:00Z,2017-12-06T00:00:00Z,train
2,2017-09-07T12:00:00Z,2017-11-06T06:00:00Z,2017-11-06T12:00:00Z,2017-12-06T06:00:00Z,train
3,2017-09-07T18:00:00Z,2017-11-06T12:00:00Z,2017-11-06T18:00:00Z,2017-12-06T12:00:00Z,train
4,2017-09-08T00:00:00Z,2017-11-06T18:00:00Z,2017-11-07T00:00:00Z,2017-12-06T18:00:00Z,train
5,2017-09-08T06:00:00Z,2017-11-07T00:00:00Z,2017-11-07T06:00:00Z,2017-12-07T00:00:00Z,train
6,2017-09-08T12:00:00Z,2017-11-07T06:00:00Z,2017-11-07T12:00:00Z,2017-12-07T06:00:00Z,train
7,2017-09-08T18:00:00Z,2017-11-07T12:00:00Z,2017-11-07T18:00:00Z,2017-12-07T12:00:00Z,train
8,2017-09-09T00:00:00Z,2017-11-07T18:00:00Z,2017-11-08T00:00:00Z,2017-12-07T18:00:00Z,train
9,2017-09-09T06:00:00Z,2017-11-08T00:00:00Z,2017-11-08T06:00:00Z,2017-12-08T00:00:00Z,train
10,2017-09-09T12:00:00Z,2017-11-08T06:00:00Z,2017-11-08T12:00:00Z,2017-12-08T06:00:00Z,train
11,2017-09-09T18:00:00Z,2017-11-08T12:00:00Z,2017-11-08T18:00:00Z,2017-12-08T12:00:00Z,train
12,2017-09-10T00:00:00Z,2017-11-08T18:00:00Z,2017-11-09T00:00:00Z,2017-12-08T18:00:00Z,train
13,2017-09-10T06:00:00Z,2017-11-09T00:00:00Z,2017-11-09T06:00:00Z,2017-12-09T00:00:00Z,train
14,2017-09-10T12:00:00Z,2017-11-09T06:00:00Z,2017-11-09T12:00:00Z,2017-12-09T06:00:00Z,train
15,2017-09-10T18:00:00Z,2017-11-09T12:00:00Z,2017-11-09T18:00:00Z,2017-12-09T12:00:00Z,train
16,2017-09-11T00:00:00Z,2017-11-09T18:00:00Z,2017-11-10T00:00:00Z,2017-12-09T18:00:00Z,train
17,2017-09-11T06:00:00Z,2017-11-10T00:00:00Z,2017-11-10T06:00:00Z,2017-12-10T00:00:00Z,train
18,2017-09-11T12:00:00Z,2017-11-10T06:00:00Z,2017-11-10T12:00:00Z,2017-12-10T06:00:00Z,train
19,2017-09-11T18:00:00Z,2017-11-10T12:00:00Z,2017-11-10T18:00:00Z,2017-12-10T12:00:00Z,train
20,2017-09-12T00:00:00Z,2017-11-10T18:00:00Z,2017-11-11T00:00:00Z,2017-12-10T18:00:00Z,train
21,2017-09-12T06:00:00Z,2017-11-11T00:00:00Z,2017-11-11T06:00:00Z,2017-12-11T00:00:00Z,train
22,2017-09-12T12:00:00Z,2017-11-11T06:00:00Z,2017-11-11T12:00:00Z,2017-12-11T06:00:00Z,train
23,2017-09-12T18:00:00Z,2017-11-11T12:00:00Z,2017-11-11T18:00:00Z,2017-12-11T12:00:00Z,train
24,2017-09-13T00:00:00Z,2017-11-11T18:00:00Z,2017-11-12T00:00:00Z,2017-12-11T18:00:00Z,train
25,2017-09-13T06:00:00Z,2017-11-12T00:00:00Z,2017-11-12T06:00:00Z,2017-12-12T00:00:00Z,train
26,2017-09-13T12:00:00Z,2017-11-12T06:00:00Z,2017-11-12T12:00:00Z,2017-12-12T06:00:00Z,train
27,2017-09-13T18:00:00Z,2017-11-12T12:00:00Z,2017-11-12T18:00:00Z,2017-12-12T12:00:00Z,train
28,2017-09-14T00:00:00Z,2017-11-12T18:00:00Z,2017-11-13T00:00:00Z,2017-12-12T18:00:00Z,train
29,2017-09-14T06:00:00Z,2017-11-13T00:00:00Z,2017-11-13T06:00:00Z,2017-12-13T00:00:00Z,train
30,2017-09-14T12:00:00Z,2017-11-13T06:00:00Z,2017-11-13T12:00:00Z,2017-12-13T06:00:00Z,train
31,2017-09-14T18:00:00Z,2017-11-13T12:00:00Z,2017-11-13T18:00:00Z,2017-12-13T12:00:00Z,train
32,2017-09-15T00:00:00Z,2017-11-13T18:00:00Z,2017-11-14T00:00:00Z,2017-12-13T18:00:00Z,train
33,2017-09-15T06:00:00Z,2017-11-14T00:00:00Z,2017-11-14T06:00:00Z,2017-12-14T00:00:00Z,train
34,2017-09-15T12:00:00Z,2017-11-14T06:00:00Z,2017-11-14T12:00:00Z,2017-12-14T06:00:00Z,train
35,2017-09-15T18:00:00Z,2017-11-14T12:00:00Z,2017-11-14T18:00:00Z,2017-12-14T12:00:00Z,train
36,2017-09-16T00:00:00Z,2017-11-14T18:00:00Z,2017-11-15T00:00:00Z,2017-12-14T18:00:00Z,train
37,2017-09-16T06:00:00Z,2017-11-15T00:00:00Z,2017-11-15T06:00:00Z,2017-12-15T00:00:00Z,train
38,2017-09-16T12:00:00Z,2017-11-15T06:00:00Z,2017-11-15T12:00:00Z,2017-12-15T06:00:00Z,train
39,2017-09-16T18:00:00Z,2017-11-15T12:00:00Z,2017-11-15T18:00:00Z,2017-12-15T12:00:00Z,train
40,2017-09-17T00:00:00Z,2017-11-15T18:00:00Z,2017-11-16T00:00:00Z,2017-12-15T18:00:00Z,train
41,2017-09-17T06:00:00Z,2017-11-16T00:00:00Z,2017-11-16T06:00:00Z,2017-12-16T00:00:00Z,train
42,2017-09-17T12:00:00Z,2017-11-16T06:00:00Z,2017-11-16T12:00:00Z,2017-12-16T06:00:00Z,train
43,2017-09-17T18:00:00Z,2017-11-16T12:00:00Z,2017-11-16T18:00:00Z,2017-12-16T12:00:00Z,train
44,2017-09-18T00:00:00Z,2017-11-16T18:00:00Z,2017-11-17T00:00:00Z,2017-12-16T18:00:00Z,train
45,2017-09-18T06:00:00Z,2017-11-17T00:00:00Z,2017-11-17T06:00:00Z,2017-12-17T00:00:00Z,train
46,2017-09-18T12:00:00Z,2017-11-17T06:00:00Z,2017-11-17T12:00:00Z,2017-12-17T06:00:00Z,train
