model,dataset,additional_synthetic_ratio,synthetic_share_of_total,real_train,synthetic_train,total_train,best_epoch,best_validation_mse_scaled,validation_mae,test_mae,test_rmse,test_r2,test_correlation,test_tail_mae_worst_10pct,test_tail_mae_worst_5pct
block_bootstrap,real_only,0.0,0.0,4710,0,4710,2,0.3956145685833094,0.04751623953656013,0.07955041510202929,0.10070963378275659,-0.46746526441877556,-0.2858802687928045,0.219274934890166,0.25493979518828186
block_bootstrap,real_plus_25pct,0.25,0.2000679347826087,4710,1178,5888,3,0.4356722632610121,0.052087992911662204,0.08423440040855261,0.1017886378961086,-0.4990785924550283,-0.2964393608136789,0.20621738216427507,0.23756246025795522
block_bootstrap,real_plus_50pct,0.5,0.3333333333333333,4710,2355,7065,2,0.46829666535666936,0.05472535149735199,0.08036078766053634,0.09590660361943991,-0.3308307267661339,-0.27319302276317264,0.192859958389092,0.2279854104246782
block_bootstrap,real_plus_100pct,1.0,0.5,4710,4710,9420,6,0.5790369795659744,0.06159417582350462,0.08645327073835073,0.10020110932779909,-0.4526830056788702,-0.32187258062565144,0.18788797387985584,0.21618956116878468
cvae,real_only,0.0,0.0,4710,0,4710,2,0.3956145685833094,0.04751623953656013,0.07955041510202929,0.10070963378275659,-0.46746526441877556,-0.2858802687928045,0.219274934890166,0.25493979518828186
cvae,real_plus_25pct,0.25,0.2000679347826087,4710,1178,5888,2,0.3978399574170987,0.04703092875414605,0.07770369943692415,0.10024336159708003,-0.4539083832213875,-0.2877248261187456,0.22273028006807702,0.2569022401357475
cvae,real_plus_50pct,0.5,0.3333333333333333,4710,2355,7065,2,0.39952520583654594,0.04735872960612829,0.0775304701819869,0.09970029679392588,-0.4381980611925187,-0.30027577193944927,0.22055880440388873,0.25375713529470173
cvae,real_plus_100pct,1.0,0.5,4710,4710,9420,2,0.3913944814858478,0.047163180118288406,0.07544357216991443,0.0980231852371211,-0.39021963495912226,-0.3044131044966938,0.21887572919898998,0.25158088265553763
normalizing_flow,real_only,0.0,0.0,4710,0,4710,2,0.3956145685833094,0.04751623953656013,0.07955041510202929,0.10070963378275659,-0.46746526441877556,-0.2858802687928045,0.219274934890166,0.25493979518828186
normalizing_flow,real_plus_25pct,0.25,0.2000679347826087,4710,1178,5888,2,0.41005677017322273,0.04888367854408497,0.07898363586502948,0.09985133831206552,-0.4425589742616285,-0.286313755073924,0.21688667375370452,0.25224017821576283
normalizing_flow,real_plus_50pct,0.5,0.3333333333333333,4710,2355,7065,2,0.43156230690437636,0.05115194193913101,0.07870137722099858,0.09805104438867325,-0.39100997539090376,-0.29913106264208905,0.21152228059990158,0.24647424604905688
normalizing_flow,real_plus_100pct,1.0,0.5,4710,4710,9420,3,0.42691604594606497,0.05003260221844742,0.07611295504562826,0.09743711757228775,-0.3736454521544117,-0.3232542701416803,0.21628677140656716,0.2474829884974853
conditional_gan,real_only,0.0,0.0,4710,0,4710,2,0.3956145685833094,0.04751623953656013,0.07955041510202929,0.10070963378275659,-0.46746526441877556,-0.2858802687928045,0.219274934890166,0.25493979518828186
conditional_gan,real_plus_25pct,0.25,0.2000679347826087,4710,1178,5888,2,0.41014186660535473,0.04860991894117024,0.07536381012622394,0.09741258476049124,-0.3729538236711305,-0.29884284335277944,0.21868311438729854,0.25241303403416404
conditional_gan,real_plus_50pct,0.5,0.3333333333333333,4710,2355,7065,3,0.42276950567700455,0.04872569973543937,0.07542631027226511,0.09865792628004666,-0.40828243323296687,-0.3211095345145376,0.2212408275796416,0.25223034182968346
conditional_gan,real_plus_100pct,1.0,0.5,4710,4710,9420,1,0.4328017107914629,0.050898713069890654,0.07051733100678678,0.09222839011846494,-0.23070808176861424,-0.3105112482239775,0.21056243826131352,0.2458189973688644
